だんだん春らしくなってきました。,渐渐地有些春天的气息了。,〜てくる・〜ていく（渐变）<br>「〜てくる」表示从过去到现在的逐渐变化。
その男は先週の土曜日にこの店に来て、一言も話さず、酒を飲んでいた。,那男的上周六来到店里，一言不发地喝闷酒。,〜ず［に］……（附带情况、手段）<br>Vない形 + ず［に］……（但「〜する」\(\rightarrow\)「〜せず」）<br>「〜ず［に］……」是表示附带情况以及手段等的，意思与「〜ないで……」相同，但偏向书面语。
急いでいたので、かぎをかけずに（かけないで）出かけてしまった。,由于太匆忙，所以我没锁门就走了。（附带情况）,〜ず［に］……（附带情况、手段）<br>Vない形 + ず［に］……（但「〜する」\(\rightarrow\)「〜せず」）<br>「〜ず［に］……」是表示附带情况以及手段等的，意思与「〜ないで……」相同，但偏向书面语。
辞書を使わずに（使わないで）新聞が読めるようになりたい。,我想让自己不用查词典就可以看报。（手段）,〜ず［に］……（附带情况、手段）<br>Vない形 + ず［に］……（但「〜する」\(\rightarrow\)「〜せず」）<br>「〜ず［に］……」是表示附带情况以及手段等的，意思与「〜ないで……」相同，但偏向书面语。
子どもの熱が下がらず（下がらなくて）、心配しました。,小孩的烧不退，我很担心。,〜ず、……（原因・理由、并列）<br>Vない形 + ず、……（但「〜する」\(\rightarrow\)「〜せず」）<br>「〜ず、……」是表示原因、理由的，意思与「〜なくて、……」相同，但偏向书面语。
田中さんは今月出張せず、来月出張することになりました。,定了田中先生这个月不出差，下个月出差。,〜ず、……（原因・理由、并列）<br>Vない形 + ず、……（但「〜する」\(\rightarrow\)「〜せず」）<br>「Xず、Y」也可用于把X（ない）和Y两者并列时。
この寺は今まで2回火事で焼けている。,这座寺院至今已两次毁于火灾。,〜ている（经验、经历）<br>「〜ている」在此表示历史性事实、经验和经历等。这时，句中多带有「〜回」「長い間」等表示次数和时间等的副词。
京都では長い間大きな地震が起こっていない。もうすぐ地震が来るかもしれない。,京都已经很长时间没有发生过大地震了，也许马上就会发生。,〜ている（经验、经历）<br>「〜ている」在此表示历史性事实、经验和经历等。这时，句中多带有「〜回」「長い間」等表示次数和时间等的副词。
田中さんは高校のときアメリカに留学している。だから、英語の発音がきれいだ。,田中先生高中时曾去美国留学，所以他英语的发音很好。,〜ている（经验、经历）<br>这种「〜ている」是表示曾经有过的某种行为，对现在的主体仍有影响或关联。
［店で］これなんかいかがでしょうか。,［在店里］这个您看怎么样？,〜なんかどう？<br>在本句型中，「なんか」用于说话人向听话人举出适合的例子时，由于该说法还隐含有其他可能，所以也可以避免说话人把自己的主意强加于人。<br>「〜などどうですか」是比较正式的说法。
次の会長はだれがいいかな。<br>田中さんなんかいいと思うよ。,你看下一任会长谁当好？<br>我觉得田中先生这人行。,〜なんかどう？<br>在本句型中，「なんか」用于说话人向听话人举出适合的例子时，由于该说法还隐含有其他可能，所以也可以避免说话人把自己的主意强加于人。<br>「〜などどうですか」是比较正式的说法。
