田中さんは昨日何て言っていましたか。<br>今日は休むって言っていました。,田中先生昨天说什么来着？<br>他说了今天要休息。,……て……・って……（引用）<br>句子（普通形） + て/って……<br>口语表达时，有时候引用的「と」会变成「て」或者「って」的形式。
弟はいつもコンピューターゲームをしてばかりいる。,弟弟一天到晚尽在玩电脑游戏。（限定动作“玩电脑游戏”）,〜てばかりいる・〜ばかり〜ている<br>Vて形 + ばかりいる<br>Nばかり + V他ている<br>表示老在做某件事情，或者反复在做某件事情，语气当中包含有说话人对此的责备以及不满的心情。
弟はいつもコンピューターゲームばかりしている。,弟弟一天到晚尽在玩电脑游戏。（限定宾语“电脑游戏”）,〜てばかりいる・〜ばかり〜ている<br>Vて形 + ばかりいる<br>Nばかり + V他ている<br>表示老在做某件事情，或者反复在做某件事情，语气当中包含有说话人对此的责备以及不满的心情。<br>他动词的场合，「ばかり」有时候替代「を」放在宾语的后面。
子どものとき、母に「勉強しろ」とか「たくさん食べなさい」とかよく言われました。,小时候，妈妈经常叫我“要学习”啦，“要多吃点”啦什么的。,とか<br>{N/句子（普通形）} + とか<br>「……とか……とか」列举一些相似的事物时使用。<br>「……」里面也可以是句子。
今日のテストは「難しい」とか「問題が多すぎる」とか思った学生が多いようです。,今天的考试，好像有许多学生觉得“好难啊”或者“题太多了啊”。,とか<br>{N/句子（普通形）} + とか<br>「……とか……とか」列举一些相似的事物时使用。<br>「……」里面也可以是句子。
やせたいんです。どうしたらいいですか。<br>毎日水泳をするとか、ジョギングをするとかすればいいですよ。,我想瘦下来。怎么办才好呢。<br>可以每天游游泳，跑跑步啊。,とか<br>{N/句子（普通形）} + とか<br>「……とか……とか」列举一些相似的事物时使用。<br>「……」里面也可以是句子。
暗くなって、星が見えてきた。,天黑了，看见星星了。,〜てくる（新情况的出现）<br>Vて形 + くる<br>「〜てくる」表示某个新的情况出现，原先感觉不到的情况现在可以感觉到了。
隣の家からいいにおいがしてきた。,从隔壁邻居家飘来香气。,〜てくる（新情况的出现）<br>Vて形 + くる<br>「〜てくる」表示某个新的情况出现，原先感觉不到的情况现在可以感觉到了。
兄が旅行から帰ってきた。,哥哥旅游回来了,〜てくる（由远及近）・〜ていく（由近及远）<br>表示移动的动词后面接「〜てくる」「〜ていく」，明确移动的方向。「〜てくる」表示移动的动作朝着说话人的方向运动。「〜ていく」表示移动的动作从说话人朝向别处运动。
授業のあと、学生たちはうちへ帰っていった。,放学后，学生们回家去了。,〜てくる（由远及近）・〜ていく（由近及远）<br>表示移动的动词后面接「〜てくる」「〜ていく」，明确移动的方向。「〜てくる」表示移动的动作朝着说话人的方向运动。「〜ていく」表示移动的动作从说话人朝向别处运动。
新聞にこんなことが書いてあった。最近の日本人は家族みんなで休日にコンピューたのターゲームを楽しむそうだ。,报纸上写着这样的事情。据说最近的日本人在休息日会全家人一起高高兴兴地玩电脑游戏。,こ〜（文脉指示）<br>文章里的「こ」有时指示后续句子提到的事物。
