株式会社,かぶしきがいしゃ,股份有限公司
猿も木から落ちる,さるもきからおちる,智者千虑必有一失
木登り,きのぼり,爬树
〜など,,……等
しぼる,,挤（乳を〜/挤奶）
入社［する］,にゅうしゃ［する］,进公司（工作）、就职
口に出す,くちにだす,挂在嘴上、说出口
我慢［する］,がまん［する］,忍受、忍耐
我慢強い,がまんづよい,忍耐力强
掃除機,そうじき,吸尘器
ため息,ためいき,叹息、叹气
あふれる,,溢出、充满
たまる［ごみが〜］,,堆积［ごみが〜/垃圾堆积］
受験生,じゅけんせい,考生
都心,としん,市中心（主要指东京的中心区）
双子,ふたご,双胞胎
世界的［な］,せかいてき［な］,世界性［的］
スター,,明星
シーズン,,旺季
約〜,やく〜,约……
割,わり,百分比
休暇,きゅうか,休假
いとこ,,表、堂兄弟姐妹
同士［いとこ〜］,どうし,作为接尾词，表示相互处于同类关系<br>［いとこ〜/表、堂兄弟姐妹之间］
ルーズ［な］,,懒散
売上げ,うりあげ,销售额
落ちる［売上げが〜］,おちる［うりあげが〜］,下降［売上げが〜/销售额下降］
工学部,こうがくぶ,工科（院）系
入り直す,はいりなおす,重新上学
関係［音楽〜］,かんけい［おんがく〜］,与……相关的［音楽〜/与音乐相关的］
ポテトチップス,,炸土豆片
インスタント食品,インスタントしょくひん,快餐食品
インスタント,,即席、即食、速溶
食品,しょくひん,食品
あきる,,腻（了）
高みの見物,たかみのけんぶつ,袖手旁观、坐山观虎斗
気が置けない,きがおけない,彼此不需要客气
大家,おおや,房东
言い訳［する］,いいわけ［する］,申辩、辩解
手土産,てみやげ,（访问时带去的）礼物
あったま、きちゃったな。,,生气、恼怒
〜奴［いい〜］,〜やつ,……的家伙（用于鄙视的人或亲密的人）<br>［いい〜/好人］
気にかける,きにかける,挂在心上
気を使う,きをつかう,费心
信用［する］,しんよう［する］,信任、相信
付き合う,つきあう,交往、交际
数えきれない,かぞえきれない,数不清
シミュレーション,,模拟、仿真
発言［する］,はつげん［する］,发言
目にする,めにする,看见
指摘［する］,してき［する］,指出，指责
傷つく,きずつく,伤害、心灵受创
不〜［〜愉快］,ふ〜［〜ゆかい］,不……［〜愉快/不愉快］
ふり,,样子、举止
〜心［親切〜］,〜しん［しんせつ〜］,……心［親切〜/好意、善意］
〜性［人間〜］,〜せい［にんげん〜］,……性［人間〜/人性］
目下,めした,部下、比自己地位低的人
なおさら,,越发、更是（如此）
外部,がいぶ,外部、本公司之外的（人、场所）
クレーム,,索赔
何気ない,なにげない,若无其事、无意中
受け止める,うけとめる,接受（意见、建议）
案ずるより産むがやすし,あんずるよりうむがやすし,担心的事情并不见得难办
反応［する］,はんのう［する］,反应
伝わる,つたわる,传达、表达
実行［する］,じっこう［する］,执行、实行
かかる［費用が〜］,［ひようが〜］,花［費用が〜/产生费用、花钱］
〜で思い出したんだけど、……。,,提起……让我想起了……
ところで、〜ことだけど、……んだって？,,哦，对了，你听说了吗？有关……的事儿。<br>展开话题时的用语
確かに……ことってよくあるよね。,,确实，类似……的事经常发生呀。<br>用于谈话对方产生共鸣时
つまり、……ってことです。,,总之……、也就是说……<br>换一句话来表达
池袋,いけぶくろ,池袋：东京都丰岛区地名，是 JR、私营铁路、地铁的中转站，也是东京都著名的繁华地段。
練馬,ねりま,练马：东京都 23 个区之一，位于东京大城区西北边。
上野,うえの,上野：位于东京都台东区西边的繁华地段和休闲娱乐地段。
月島,つきしま,月岛：东京都中央区靠海的地段。用东京湾沙石填海形成的人造陆地。
青森,あおもり,青森县：日本东北地区北部、本州最北端的县。
アーサー·ビナード,,阿瑟·比纳德（Arthur Binard）：美国人，诗人、俳人、随笔作家，旅居日本。1967 年出生。
大分県,おおいたけん,大分县：日本九州地区东北部的一个县。
